;CODE;LOCATIONNAME;barrio;distrito;PRICE;AREA;ROOMNUMBER;BATHNUMBER;STATUS;STUDIO;ISPENTHOUSE;DUPLEX;SWIMMINGPOOL;ELEVATOR;X;Y
0;6,60686E+18;El Viso;el viso;chamartin;1869000;290;4;3;Second hand / Good state;0;1;1;0;1;441543;4478087
1;9,22337E+18;Adelfas;adelfas;retiro;317000;75;2;1;Second hand / Good state;0;0;0;0;1;442956;4472317
2;9,22337E+18;Rosas;rosas;san blas - canillejas;292000;90;2;2;Second hand / Good state;0;0;0;1;1;448837;4475183
3;6,07403E+18;Palomeras Bajas;palomeras bajas;puente de vallecas;95000;75;3;1;Second hand / Good state;0;0;0;0;0;444520;4470756
4;9,22337E+18;San Diego;san diego;puente de vallecas;86000;90;0;1;Second hand / Needs reformation;0;0;0;0;0;443178;4470744
5;9,22337E+18;Casa de Campo;casa de campo;moncloa - aravaca;410000;105;3;2;Second hand / Needs reformation;0;0;0;0;1;437560;4475863
6;5,54119E+18;Lavapiés-Embajadores;embajadores;centro;235000;50;1;1;Second hand / Good state;0;0;0;0;0;440205;4473206
7;6,8313E+18;Tres Olivos - Valverde;valverde;fuencarral - el pardo;135000;85;3;1;Second hand / Needs reformation;0;0;0;0;0;441356;4482735
8;4,72853E+18;Águilas;aguilas;latina;157000;90;3;1;Second hand / Needs reformation;0;0;0;0;1;433736;4470235
9;9,22337E+18;Almendrales;almendrales;usera;87000;45;1;1;Second hand / Good state;0;0;0;0;0;440380;4470765
10;6,08464E+18;San Juan Bautista;san juan bautista;ciudad lineal;576000;115;3;2;Second hand / Good state;0;0;0;1;1;444077;4477818
11;3,0727E+18;Valdemarín;valdemarin;moncloa - aravaca;531000;155;3;3;Second hand / Unknown;0;0;1;1;1;434795;4480125
12;9,22337E+18;Opañel;opanel;carabanchel;118000;110;3;1;Second hand / Needs reformation;0;0;0;0;0;438674;4471230
13;9,22337E+18;Cuzco-Castillejos;castillejos;tetuan;1253000;260;1;2;Second hand / Good state;0;0;0;1;1;441099;4478882
14;5,29106E+18;Gaztambide;gaztambide;chamberi;319000;80;1;1;Second hand / Good state;0;1;0;0;1;439431;4476693
15;9,22337E+18;San Juan Bautista;san juan bautista;ciudad lineal;1133000;250;3;2;Second hand / Good state;0;1;1;1;1;444437;4478561
16;9,22337E+18;Ciudad Jardín;ciudad jardin;chamartin;197000;55;1;1;Second hand / Needs reformation;0;0;0;0;1;442832;4477723
17;9,22337E+18;Fontarrón;fontarron;moratalaz;151000;60;2;1;Second hand / Good state;0;0;0;0;0;445614;4472386
18;3,31073E+18;Jerónimos;los jeronimos;retiro;1824000;210;4;2;Second hand / Good state;0;0;0;0;1;441528;4474312
19;9,22337E+18;Sanchinarro;valdefuentes;hortaleza;786000;135;3;2;Second hand / Good state;0;1;0;1;1;444140;4482876
20;8,76336E+17;Ciudad Universitaria;ciudad universitaria;moncloa - aravaca;1888000;730;7;6;Second hand / Good state;0;1;1;1;1;438198;4480319
21;9,22337E+18;Pacífico;pacifico;retiro;186000;65;2;1;Second hand / Good state;0;0;0;0;1;442170;4473063
22;9,22337E+18;Butarque;butarque;villaverde;218000;115;3;2;Second hand / Unknown;0;0;0;1;1;442440;4465620
23;8,3602E+18;Casco Histórico de Vallecas;casco historico de vallecas;villa de vallecas;133000;70;3;1;Second hand / Needs reformation;0;0;0;0;0;446955;4469955
24;9,22337E+18;Canillas;canillas;hortaleza;155000;50;1;1;Second hand / Good state;0;0;0;0;1;446672;4479556
25;9,22337E+18;Lavapiés-Embajadores;embajadores;centro;209000;85;3;1;Second hand / Good state;0;0;0;0;1;440583;4473525
26;7,93654E+18;Castellana;castellana;salamanca;353000;80;4;1;Second hand / Needs reformation;0;0;0;0;1;442136;4475945
27;9,22337E+18;Peñagrande;penagrande;fuencarral - el pardo;835000;150;3;2;New development;0;0;1;1;1;437824;4480607
28;9,22337E+18;San Diego;san diego;puente de vallecas;130000;70;3;1;Second hand / Good state;0;0;0;0;0;443455;4471104
29;4,52176E+18;Valdebebas - Valdefuentes;valdefuentes;hortaleza;475000;140;4;2;Second hand / Good state;0;0;0;1;1;448027;4482190
30;9,22337E+18;Pinar del Rey;pinar del rey;hortaleza;224000;90;3;1;Second hand / Good state;0;0;0;0;1;446147;4480527
31;5,10642E+18;Lista;lista;salamanca;1257000;160;3;3;Second hand / Good state;0;0;0;0;1;442622;4475543
32;3,53934E+18;Pinar del Rey;pinar del rey;hortaleza;257000;85;3;2;Second hand / Good state;0;0;0;0;0;444596;4480654
33;9,22337E+18;Mirasierra;mirasierra;fuencarral - el pardo;1317000;245;4;4;Second hand / Unknown;0;0;0;1;1;439556;4482669
34;7,99328E+18;Gaztambide;gaztambide;chamberi;362000;80;2;1;Second hand / Good state;0;0;0;0;1;439584;4476320
35;7,51544E+18;Comillas;comillas;carabanchel;226000;105;3;2;Second hand / Good state;0;0;0;0;1;439385;4471869
36;6,95499E+18;Almagro;almagro;chamberi;1234000;170;3;2;Second hand / Good state;0;0;0;0;1;441228;4475345
37;8,31744E+18;Montecarmelo;el goloso;fuencarral - el pardo;560000;140;3;2;New development;0;0;0;0;1;441934;4484082
38;9,22337E+18;Ensanche de Vallecas - La Gavia;ensanche de vallecas;villa de vallecas;110000;80;0;1;Second hand / Good state;1;0;0;1;1;450443;4468453
